"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","buffer_size","device","eps_decay_steps","eps_end","eps_start","eval_distances","eval_episodes_per_distance","eval_every_episodes","gamma","hidden1","hidden2","lr","max_episode_len","max_steps","scramble_distance","seed","step_penalty","target_update_steps","total_episodes","train_start_size","wandb_mode","wandb_project","activation","clip_coef","cur_increase_step","cur_max_distance","cur_min_episodes_per_level","cur_start_distance","cur_threshold","cur_window_episodes","curriculum","dropout","entropy_coef","eval_every_updates","gae_lambda","grad_clip","hidden_layers","minibatch_size","norm","normalize_advantages","normalize_returns","ppo_epochs","reward_to_go","rollout_steps","tau","total_updates","value_coef","value_head","vf_clip_coef","weight_decay","episode/ep","episode/length","episode/return","episode/solved","eval/d10_avg_return","eval/d10_avg_steps_when_solved","eval/d10_success_rate","eval/d15_avg_return","eval/d15_avg_steps_when_solved","eval/d15_success_rate","eval/d20_avg_return","eval/d20_avg_steps_when_solved","eval/d20_success_rate","eval/d5_avg_return","eval/d5_avg_steps_when_solved","eval/d5_success_rate","time/elapsed_min","train/buffer_size","train/epsilon","train/global_step","train/loss","train/q_mean","train/td_error","best_success_rate_d5","curriculum/current_distance","curriculum/level_start_ep","curriculum/level_start_update","curriculum/recent_success","curriculum/recent_window","progress/global_steps","progress/update","rollout/episodes_in_update","rollout/solved_in_update","train/avg_entropy","train/avg_pg_loss","train/avg_value_loss","train/entropy","train/learning_rate","train/pg_loss","train/target_mean","train/value_loss"
"reinforce-1-manhattan-pretrained-large","running","-","","","2025-08-06T09:51:12.000Z","646","","","","cuda","","","","[5,10,15,20]","30","250","0.995","512","512","0.0003","100","10","5","42","0","","200000","","online","RubiksRL","silu","","1","20","2000","1","0.8","500","false","0.05","0.003","","","10","[1024,1024,1024,1024]","","layernorm","","true","","true","","","","0.5","true","","0.00001","17475","10","-0.19999999999999973","0","0.7466666666666664","4","0.03333333333333333","0.5700000000000001","NaN","0","0.5466666666666667","NaN","0","0.9666666666666666","5.5","0.13333333333333333","10.727400946617127","","","","0.13427096605300903","","","","","","","","","","","","","","","","0.001106351613998413","","-0.000013375867638387716","","0.2685753405094147"
"reinforce-1-manhattan-pretrained","running","-","","","2025-08-06T09:15:24.000Z","2790","","","","cuda","","","","[5,10,15,20]","30","250","0.995","512","512","0.0003","100","10","5","42","0","","200000","","online","RubiksRL","silu","","1","20","2000","1","0.8","500","false","0.05","0.003","","","10","[512,512]","","layernorm","","true","","true","","","","0.5","true","","0.00001","104749","3","2.2","1","0.1666666666666666","NaN","0","0.33666666666666667","NaN","0","0.29333333333333333","NaN","0","0.7900000000000001","3","0.2","46.12820460398992","","","","0.5675974488258362","","","","","","","","","","","","","","","","2.6870131418282522e-14","","0","","1.1351948976516724"
"ppo-1-manhattan-curriculum","crashed","-","","","2025-08-06T08:27:56.000Z","4396","","","","cuda","","","","[5,10,15,20]","30","","0.995","","","0.0003","100","10","5","42","0","","","","online","RubiksRL","silu","0.2","1","20","2000","1","0.8","500","true","0.05","0.003","20","0.95","1","[512,512]","256","layernorm","true","","10","","2048","","4000","0.5","","0.2","0.000001","","","","","-0.3933333333333334","NaN","0","-0.24666666666666676","NaN","0","-0.09666666666666672","NaN","0","-0.6766666666666666","NaN","0","72.98127220869064","","","","","","","","1","","1","0.072","500","2263040","1105","222","19","2.484895479679108","-0.0013107358012348414","0.13805708927102386","","0.0002547700190554547","","",""
"reinforce-1-manhattan-curriculum","finished","-","","","2025-08-06T08:23:47.000Z","4820","","","","cuda","","","","[5,10,15,20]","30","250","0.995","512","512","0.0003","100","10","5","42","0","","200000","","online","RubiksRL","silu","","1","20","2000","1","0.8","500","true","0.05","0.003","","","10","[512,512]","","layernorm","","true","","true","","","","0.5","true","","0.00001","200000","10","-0.6000000000000001","0","0.19666666666666668","6","0.03333333333333333","0.2433333333333333","NaN","0","7.401486830834377e-18","NaN","0","0.5133333333333332","4","0.13333333333333333","80.17855792840322","","","","-163.9167022705078","","","0.3333333333333333","2","2001","","0.392","500","","","","","","","","0","","-164.11997985839844","","0.40656405687332153"
"dqn-1-manhattan","crashed","-","","","2025-08-06T08:21:54.000Z","4771","","256","200000","cuda","300000","0.1","1","[5,10,15,20]","30","250","0.995","512","512","0.0001","100","40","5","42","0","2000","50000","10000","online","RubiksRL","","","1","20","2000","1","0.8","500","false","","","","","","","","","","","","","","0.005","","","","","","21281","40","-0.5000000000000001","0","-0.18000000000000008","NaN","0","-0.0966666666666667","NaN","0","-0.04999999999999998","NaN","0","-0.91","NaN","0","79.12225033044815","200000","0.1","849546","0.5529792308807373","41.7258186340332","0.7421051263809204","","","","","","","","","","","","","","","","","41.24248504638672",""
"reinforce-2-manhattan","finished","-","","","2025-08-06T08:21:28.000Z","5444","","","","cuda","","","","[5,10,15,20]","30","250","0.995","512","512","0.0003","100","10","5","42","0","","200000","","online","RubiksRL","silu","","1","20","2000","1","0.8","500","false","0.05","0.003","","","10","[512,512]","","layernorm","","true","","true","","","","0.5","true","","0.00001","200000","3","3.4000000000000004","1","0.4333333333333334","NaN","0","0.48666666666666686","NaN","0","0.2833333333333333","NaN","0","0.49333333333333335","2.5","0.13333333333333333","90.6554483294487","","","","0.29068082571029663","","","0.43333333333333335","","","","","","","","","","","","","0.0022847806103527546","","0.000277101993560791","","0.58082115650177"
"ppo-1-manhattan","crashed","-","","","2025-08-06T08:18:18.000Z","4951","","","","cuda","","","","[5,10,15,20]","30","","0.995","","","0.0003","100","10","5","42","0","","","","online","RubiksRL","silu","0.2","1","20","2000","1","0.8","500","false","0.05","0.003","20","0.95","1","[512,512]","256","layernorm","true","","10","","2048","","4000","0.5","","0.2","0.000001","","","","","-0.1566666666666667","NaN","0","0.010000000000000031","NaN","0","-0.0966666666666667","NaN","0","-0.5599999999999999","1","0.03333333333333333","82.37409369945526","","","","","","","","","","","","","2621440","1280","206","1","2.4849066734313965","0.0000371912494301796","0.03333486511837691","","0.0002385603559508884","","",""
"reinforce-1-manhattan","finished","-","","","2025-08-06T08:15:30.000Z","5219","","","","cuda","","","","[5,10,15,20]","30","250","0.995","512","512","0.0003","100","10","5","42","0.1","","200000","","online","RubiksRL","silu","","1","20","2000","1","0.8","500","false","0.05","0.003","","","10","[512,512]","","layernorm","","true","","true","","","","0.5","true","","0.00001","200000","10","0.5000000000000004","0","-2.460000000000001","4","0.06666666666666667","-3.903333333333334","NaN","0","-5.166666666666668","NaN","0","-0.2599999999999999","4.777777777777778","0.3","86.84815934896469","","","","0.08169271796941757","","","0.6","","","","","","","","","","","","","0.07112599164247513","","-0.006359514780342579","","0.17653122544288635"
"ppo-2","crashed","-","","","2025-08-06T07:57:31.000Z","3076","","","","cuda","","","","[5,10,15,20]","30","","0.995","","","0.0003","100","10","5","42","0.1","","","","online","RubiksRL","silu","0.2","1","20","2000","1","0.8","500","false","0.05","0.003","20","0.95","1","[1024,1024,1024]","256","layernorm","true","","10","","2048","","4000","0.5","","0.2","0.000001","","","","","-4.000000000000002","NaN","0","-4.999999999999998","NaN","0","-5.9999999999999964","NaN","0","-2.870000000000001","1","0.03333333333333333","50.69037779172262","","","","","","","","","","","","","1523712","744","205","0","2.4849061965942383","0.000016282021533697844","0.01033215817878954","","0.00028125832712531246","","",""
"ppo-1","crashed","-","","","2025-08-06T07:55:14.000Z","3210","","","","cuda","","","","[5,10,15,20]","30","","0.995","","","0.0003","100","10","5","42","0.1","","","","online","RubiksRL","silu","0.2","1","20","2000","1","0.8","500","true","0.05","0.003","20","0.95","1","[1024,1024,1024]","256","layernorm","true","","10","","2048","","4000","0.5","","0.2","0.000001","","","","","-4.000000000000002","NaN","0","-4.999999999999998","NaN","0","-5.9999999999999964","NaN","0","-3.000000000000001","NaN","0","53.402899622917175","","","","","","","","1","","1","0.1","500","1552384","758","231","30","2.484901785850525","0.00008211517706513405","0.03138282741419971","","0.0002804269056027401","","",""
"reinforce-4","finished","-","","","2025-08-06T07:46:59.000Z","1814","","","","cuda","","","","[5,10,15,20]","30","250","0.995","512","512","0.0003","100","10","5","42","0.1","","50000","","online","RubiksRL","silu","","1","20","2000","1","0.8","500","false","0.05","0.003","","","10","[1024,1024,1024,1024]","","layernorm","","true","","true","","","","0.5","true","","0.00001","50000","10","-1","0","-4.000000000000002","NaN","0","-4.999999999999998","NaN","0","-5.9999999999999964","NaN","0","-3.000000000000001","NaN","0","30.10759524901708","","","","0.4387963116168976","","","0.06666666666666667","","","","","","","","","","","","","0.000034427026548655704","","1.2491493350808014e-7","","0.8775925636291504"
"reinforce-3","finished","-","","","2025-08-06T07:42:58.000Z","3815","","","","cuda","","","","[5,10,15,20]","30","250","0.995","512","512","0.0003","100","40","5","42","0","","50000","","online","RubiksRL","silu","","1","20","2000","1","0.8","500","false","0.05","0.003","","","10","[1024,1024,1024,1024]","","layernorm","","true","","true","","","","0.5","true","","0.00001","50000","40","0","0","0","NaN","0","0","NaN","0","0","NaN","0","0","NaN","0","63.47439117034276","","","","-0.13452854752540588","","","0.1","","","","","","","","","","","","","2.330526113510132","","-0.12898199260234833","","0.002890049247071147"
"reinforce-2","finished","-","","","2025-08-06T07:39:33.000Z","1225","","","","cuda","","","","[5,10,15,20]","30","250","0.999","512","512","0.0001","100","15","5","42","0.1","","50000","","online","RubiksRL","","","1","20","2000","1","0.8","500","false","","0","","","10","","","","","true","","true","","","","0.5","true","","","50000","15","-1.5000000000000002","0","-3.853333333333335","6","0.03333333333333333","-4.999999999999998","NaN","0","-5.9999999999999964","NaN","0","-2.1766666666666676","4.714285714285714","0.23333333333333336","20.360863717397056","","","","0.014331132173538208","","","0.5","","","","","","","","","","","","","1.8404107093811035","","-0.36948496103286743","","0.7676321864128113"
"reinforce-1","finished","-","","","2025-08-06T07:36:12.000Z","2476","","","","cuda","","","","[5,10,15,20]","30","250","0.995","512","512","0.0001","100","40","5","42","0","","50000","","online","RubiksRL","","","1","20","2000","1","0.8","500","false","","0","","","10","","","","","true","","true","","","","0.5","true","","","50000","40","0","0","0","NaN","0","0","NaN","0","0","NaN","0","0","NaN","0","41.18762426773707","","","","-0.00315167848020792","","","0.23333333333333336","","","","","","","","","","","","","1.993861436843872","","-0.0031675216741859913","","0.00003168656985508278"
"dqn-5","crashed","-","","","2025-08-06T07:28:41.000Z","917","","256","200000","cuda","300000","0.1","1","[5,10,15,20]","30","250","0.995","512","512","0.0001","100","40","5","42","0","2000","50000","10000","online","RubiksRL","","","1","20","2000","1","0.8","500","false","","","","","","","","","","","","","","0.005","","","","","","4438","40","0","0","0","NaN","0","0","NaN","0","0","NaN","0","0","NaN","0","15.004527755578358","176818","0.469549","176818","28.832111358642575","1298.099853515625","29.29413795471191","","","","","","","","","","","","","","","","","1272.291015625",""
"dqn-4","crashed","-","","","2025-08-06T07:27:44.000Z","976","","256","200000","cuda","300000","0.1","1","[5,10,15,20]","30","250","0.995","512","512","0.0001","100","40","5","42","0","2000","50000","10000","online","RubiksRL","","","1","20","2000","1","0.8","500","true","","","","","","","","","","","","","","0.005","","","","","","5727","40","0","0","0","NaN","0","0","NaN","0","0","NaN","0","0","NaN","0","16.029616634051006","200000","0.352591","215804","27.92338752746582","976.31298828125","28.354148864746097","","1","1","","0.036","500","","","","","","","","","","","951.02001953125",""
"dqn-3","crashed","-","","","2025-08-06T07:23:06.000Z","1247","","256","200000","cuda","100000","0.05","1","[5,10,15,20]","30","250","0.995","512","512","0.001","100","40","5","42","0","2000","50000","10000","online","RubiksRL","","","1","20","2000","1","0.8","500","true","","","","","","","","","","","","","","","","","","","","5800","40","0","0","0","NaN","0","0","NaN","0","0","NaN","0","0","NaN","0","20.514582868417104","200000","0.05","224417","2.4365315437316895","117.05096435546876","2.8469738960266113","","1","1","","0.002","500","","","","","","","","","","","",""
"dqn-2","crashed","-","","","2025-08-06T07:12:40.000Z","1861","","256","200000","cuda","100000","0.05","1","[5,10,15,20]","30","250","0.995","512","512","0.001","10","15","5","42","0.1","2000","50000","10000","online","RubiksRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31017","10","-1","0","-4.000000000000002","NaN","0","-4.999999999999998","NaN","0","-5.9999999999999964","NaN","0","-3.000000000000001","NaN","0","30.625337262948353","200000","0.05","309643","5.102259635925293","1363.69775390625","5.576091766357422","","","","","","","","","","","","","","","","","",""
"dqn-1","crashed","-","","","2025-08-06T07:05:14.000Z","2311","","256","200000","cuda","100000","0.05","1","[5,10,15,20]","30","250","0.995","512","512","0.001","100","40","5","42","0","2000","50000","10000","online","RubiksRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11198","40","0","0","0","NaN","0","0","NaN","0","0","NaN","0","0","NaN","0","38.05961559613546","200000","0.05","447080","38.83673477172851","1267.20751953125","39.32344436645508","","","","","","","","","","","","","","","","","",""
